User,Month,Accumulated Goals
Payaso Pagliacci,2024-01-01,0
@Cinnam89,2024-01-01,0
Juan Carlos Sanchez,2024-01-01,0
Luis,2024-01-01,0
@donlorenz,2024-01-01,0
Ignacio,2024-01-01,0
Dani,2024-01-01,0
@MarioNetaNeta,2024-01-01,0
@AlvaroBtc,2024-01-01,0
Dani,2024-02-01,0
Payaso Pagliacci,2024-02-01,0
@Cinnam89,2024-02-01,0
Ignacio,2024-02-01,0
Juan Carlos Sanchez,2024-02-01,0
Luis,2024-02-01,0
@donlorenz,2024-02-01,0
@MarioNetaNeta,2024-02-01,0
@AlvaroBtc,2024-02-01,0
@AlvaroBtc,2024-03-01,1
@Cinnam89,2024-03-01,2
Juan Carlos Sanchez,2024-03-01,2
Payaso Pagliacci,2024-03-01,3
Luis,2024-03-01,1
@MarioNetaNeta,2024-03-01,3
Dani,2024-03-01,0
@donlorenz,2024-03-01,0
Ignacio,2024-03-01,3
@MarioNetaNeta,2024-04-01,4
Dani,2024-04-01,0
Luis,2024-04-01,1
@donlorenz,2024-04-01,0
Payaso Pagliacci,2024-04-01,3
@AlvaroBtc,2024-04-01,1
@Cinnam89,2024-04-01,2
Ignacio,2024-04-01,4
Juan Carlos Sanchez,2024-04-01,6
@donlorenz,2024-05-01,0
Dani,2024-05-01,0
@AlvaroBtc,2024-05-01,1
Juan Carlos Sanchez,2024-05-01,7
@MarioNetaNeta,2024-05-01,4
Luis,2024-05-01,2
@Cinnam89,2024-05-01,2
Payaso Pagliacci,2024-05-01,4
Ignacio,2024-05-01,5
Dani,2024-06-01,0
@donlorenz,2024-06-01,1
@Cinnam89,2024-06-01,2
Luis,2024-06-01,2
@AlvaroBtc,2024-06-01,1
Ignacio,2024-06-01,6
@MarioNetaNeta,2024-06-01,5
Payaso Pagliacci,2024-06-01,4
Juan Carlos Sanchez,2024-06-01,7
Luis,2024-07-01,2
Ignacio,2024-07-01,6
@MarioNetaNeta,2024-07-01,5
@donlorenz,2024-07-01,1
@Cinnam89,2024-07-01,2
Dani,2024-07-01,0
Juan Carlos Sanchez,2024-07-01,9
Payaso Pagliacci,2024-07-01,4
@AlvaroBtc,2024-07-01,1
Dani,2024-08-01,0
Ignacio,2024-08-01,6
Luis,2024-08-01,2
Juan Carlos Sanchez,2024-08-01,10
@MarioNetaNeta,2024-08-01,6
Payaso Pagliacci,2024-08-01,4
@AlvaroBtc,2024-08-01,2
@donlorenz,2024-08-01,1
@Cinnam89,2024-08-01,3
@Cinnam89,2024-09-01,3
@donlorenz,2024-09-01,1
Juan Carlos Sanchez,2024-09-01,12
Dani,2024-09-01,0
Ignacio,2024-09-01,6
Luis,2024-09-01,2
Payaso Pagliacci,2024-09-01,4
@AlvaroBtc,2024-09-01,2
@MarioNetaNeta,2024-09-01,8
@AlvaroBtc,2024-10-01,3
Payaso Pagliacci,2024-10-01,4
@Cinnam89,2024-10-01,3
@donlorenz,2024-10-01,1
Ignacio,2024-10-01,7
@MarioNetaNeta,2024-10-01,8
Dani,2024-10-01,0
Juan Carlos Sanchez,2024-10-01,12
Luis,2024-10-01,2
@donlorenz,2024-11-01,1
Payaso Pagliacci,2024-11-01,4
Juan Carlos Sanchez,2024-11-01,15
Luis,2024-11-01,2
Ignacio,2024-11-01,8
@Cinnam89,2024-11-01,3
@MarioNetaNeta,2024-11-01,8
@AlvaroBtc,2024-11-01,3
Dani,2024-11-01,0
Luis,2024-12-01,2
@donlorenz,2024-12-01,1
Juan Carlos Sanchez,2024-12-01,19
Ignacio,2024-12-01,8
@Cinnam89,2024-12-01,6
@MarioNetaNeta,2024-12-01,8
@AlvaroBtc,2024-12-01,3
Payaso Pagliacci,2024-12-01,6
Dani,2024-12-01,1