User,Month,Accumulated Amount
@AlvaroBtc,2024-01-01,1
@AlvaroBtc,2024-02-01,1
@AlvaroBtc,2024-03-01,1
@AlvaroBtc,2024-04-01,1
@AlvaroBtc,2024-05-01,1
@AlvaroBtc,2024-06-01,2
@AlvaroBtc,2024-07-01,2
@AlvaroBtc,2024-08-01,2
@AlvaroBtc,2024-09-01,2
@AlvaroBtc,2024-10-01,2
@AlvaroBtc,2024-11-01,3
@AlvaroBtc,2024-12-01,3
@Cinnam89,2024-01-01,3
@Cinnam89,2024-02-01,6
@Cinnam89,2024-03-01,6
@Cinnam89,2024-04-01,7
@Cinnam89,2024-05-01,8
@Cinnam89,2024-06-01,9
@Cinnam89,2024-07-01,10
@Cinnam89,2024-08-01,10
@Cinnam89,2024-09-01,10
@Cinnam89,2024-10-01,10
@Cinnam89,2024-11-01,11
@Cinnam89,2024-12-01,11
@MarioNetaNeta,2024-01-01,0
@MarioNetaNeta,2024-02-01,0
@MarioNetaNeta,2024-03-01,0
@MarioNetaNeta,2024-04-01,0
@MarioNetaNeta,2024-05-01,0
@MarioNetaNeta,2024-06-01,0
@MarioNetaNeta,2024-07-01,1
@MarioNetaNeta,2024-08-01,1
@MarioNetaNeta,2024-09-01,1
@MarioNetaNeta,2024-10-01,1
@MarioNetaNeta,2024-11-01,1
@MarioNetaNeta,2024-12-01,1
@Outwit4071,2024-01-01,2
@Outwit4071,2024-02-01,2
@Outwit4071,2024-03-01,2
@Outwit4071,2024-04-01,2
@Outwit4071,2024-05-01,2
@Outwit4071,2024-06-01,2
@Outwit4071,2024-07-01,2
@Outwit4071,2024-08-01,2
@Outwit4071,2024-09-01,2
@Outwit4071,2024-10-01,2
@Outwit4071,2024-11-01,2
@Outwit4071,2024-12-01,2